,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
AUD,3.599083005822541e-05,1.2817194325743559e-05,8.198520596410104e-06,1.6405556595868418e-07,7.383642359983766e-06,6.0910962303494105e-06,1.1232423917726914e-05,1.9325204316932224e-05,2.403188768517483e-05,1.4281267631604942e-05,8.243903480284504e-06,0.000452745313538037,3.2826735052894996e-05,0.00011134714523988036,-3.546526722223425e-05,-0.00010185234588277957,-4.3496547378197414e-05,-5.263462308332275e-05,-4.759349755180492e-05,-3.220303736088109e-05,-2.7055389949000815e-05,-2.926360677839336e-05
CAD,1.2817194325743559e-05,1.3328301266274606e-05,3.1623385580245746e-06,1.1907616309276486e-07,3.100716179266604e-06,-2.1834545810777968e-07,8.703145913488565e-06,7.834453977081674e-06,9.74972907708982e-06,5.621864099634086e-06,2.7819513477422643e-06,-0.00010214186069281072,2.3836835689248522e-06,3.618276744322719e-05,1.2721872811294751e-05,-4.130640235129513e-05,-2.1455814628949194e-05,-2.6828043958627816e-05,-1.787114889355787e-05,-1.0570069255347712e-05,-9.70438425931046e-06,-9.582593784679116e-06
CHF,8.198520596410104e-06,3.162338558024573e-06,2.222546615169051e-05,4.7613565364009595e-07,1.8378288529791916e-05,8.955178564649834e-06,7.917621931935667e-06,1.7031622503397113e-05,9.509035897985705e-06,1.7929015329286018e-05,5.848100403274315e-06,-0.0001591337018688001,3.07329989718054e-05,4.755559284569627e-05,-8.938849064654664e-05,-4.269096386673472e-05,-6.933202397582464e-05,-5.0404030935796e-05,-4.387134354266384e-05,-2.679390424341657e-05,-1.5500524124496365e-05,-1.4256190000035542e-05
CNY,1.640555659586842e-07,1.1907616309276481e-07,4.761356536400959e-07,4.3772178372781067e-07,4.49995714627189e-07,5.60452516545981e-07,-6.08177230325356e-07,3.0383520286672187e-07,4.590053625421986e-07,5.285549180707396e-07,2.0150216041213643e-07,2.6236548253001423e-05,1.4267236023186956e-05,1.3113269198180689e-05,4.02512921141371e-06,-9.069907508492468e-07,3.8258961856582074e-07,-4.428683466090542e-07,-4.6405778146245726e-07,-5.40831563749477e-07,-7.673809902688636e-07,-6.145174650770087e-07
EUR,7.383642359983766e-06,3.100716179266605e-06,1.8378288529791916e-05,4.49995714627189e-07,1.6868899755863363e-05,8.007353888583027e-06,5.0877061905438665e-06,1.5265438369193105e-05,7.93141687329256e-06,1.628996206220257e-05,4.719755472571648e-06,-0.00024823642691931586,2.2985768723221764e-05,5.1497592923593536e-05,-6.743813412770405e-05,-3.5596000744618325e-05,-5.231708746823639e-05,-3.8932340524222426e-05,-3.330892553544198e-05,-1.9680211326196882e-05,-1.1670389688593787e-05,-9.734146964966705e-06
GBP,6.09109623034941e-06,-2.1834545810778053e-07,8.955178564649834e-06,5.60452516545981e-07,8.007353888583027e-06,1.5031653121623181e-05,-5.084268984186291e-07,1.0079260249897309e-05,5.3228867935260525e-06,1.1200582891207652e-05,3.011108944525822e-06,-0.0003073888094925806,-7.80678353934801e-05,4.040742720062572e-05,-0.00010987494044782297,-5.4021570298973495e-05,-5.3913378079684805e-05,-2.749376664414885e-05,-1.4946549848925331e-05,-7.1979940028015045e-06,-2.165856629158275e-06,-3.3645264193649136e-06
JPY,1.1232423917726916e-05,8.703145913488565e-06,7.917621931935667e-06,-6.08177230325356e-07,5.087706190543868e-06,-5.084268984186295e-07,2.4970759148369377e-05,1.0066203429357564e-05,6.515071747956243e-06,6.796553474364316e-06,4.9213172718976595e-06,8.433538653221037e-05,6.499569288510432e-05,3.071735117874727e-05,-3.925459525142689e-06,-8.962139399004744e-05,-8.513522328926164e-05,-6.113339812657449e-05,-4.820944068569135e-05,-3.0011214958714577e-05,-1.4568649135671148e-05,-1.3464120550480145e-05
NOK,1.9325204316932224e-05,7.834453977081674e-06,1.7031622503397113e-05,3.0383520286672176e-07,1.52654383691931e-05,1.0079260249897309e-05,1.0066203429357564e-05,3.546174700325367e-05,1.468256576693848e-05,2.5159505153603515e-05,6.895960664175741e-06,0.00012484104017387407,-3.912344294949131e-05,5.513009221346025e-05,-9.521315314792758e-05,-0.00010453075736936375,-0.00011320524675023943,-8.440775138721451e-05,-6.813439468324286e-05,-4.267575138228566e-05,-2.861769640580798e-05,-2.575781307479467e-05
NZD,2.403188768517483e-05,9.74972907708982e-06,9.509035897985707e-06,4.5900536254219864e-07,7.93141687329256e-06,5.3228867935260525e-06,6.515071747956245e-06,1.468256576693848e-05,3.1532867515624816e-05,1.2488231395462171e-05,6.798111533374069e-06,0.0002947767796072336,2.1702339156010046e-05,1.6560061460591676e-05,7.968092101887202e-06,-8.054956834310355e-05,-5.2948354794224025e-05,-5.734198435753338e-05,-5.2841242202373525e-05,-3.699162364264603e-05,-2.9953704474686278e-05,-2.5274218630351252e-05
SEK,1.4281267631604942e-05,5.621864099634086e-06,1.7929015329286018e-05,5.285549180707396e-07,1.628996206220257e-05,1.1200582891207652e-05,6.796553474364316e-06,2.5159505153603515e-05,1.2488231395462171e-05,3.4799040589552895e-05,5.517391486419412e-06,-0.0001259718176405915,-2.9166216093851724e-05,0.0001347653854325553,-5.8421215288923335e-05,-7.510776830269966e-05,-9.210910110191708e-05,-6.311167405152373e-05,-5.305178304149052e-05,-2.9737103519711056e-05,-1.9700060815704412e-05,-1.9427344910287447e-05
