,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD
1971-01-04,1.1127,1.0109,4.318,,,2.3938,357.73,7.1359,1.1138,5.1643,
1971-01-05,1.1132,1.0102,4.3117,,,2.3949,357.81,7.1422,1.1143,5.1628,
1971-01-06,1.114,1.0106,4.3113,,,2.3967,357.86,7.1367,1.1151,5.1614,
1971-01-07,1.1138,1.0148,4.3103,,,2.3963,357.87,7.1386,1.115,5.1649,
1971-01-08,1.1124,1.0154,4.3109,,,2.3972,357.82,7.1382,1.1154,5.1631,
1971-01-11,1.1152,1.0159,4.3102,,,2.3992,357.95,7.139,1.1163,5.1642,
1971-01-12,1.1156,1.013,4.3099,,,2.4001,358.06,7.1411,1.1167,5.1643,
1971-01-13,1.1165,1.0122,4.3095,,,2.4021,358.44,7.139,1.1177,5.1615,
1971-01-14,1.1189,1.0133,4.3095,,,2.4071,358.4,7.1403,1.12,5.1625,
1971-01-15,1.1182,1.0135,4.3076,,,2.4057,358.4,7.1414,1.1193,5.164,
1971-01-18,1.1179,1.0126,4.3029,,,2.4052,358.29,7.1406,1.1191,5.1651,
1971-01-19,1.1193,1.0111,4.3006,,,2.4081,358.35,7.1429,1.1205,5.1657,
1971-01-20,1.1193,1.0115,4.301,,,2.408,358.4,7.1429,1.1204,5.1636,
1971-01-21,1.1198,1.0109,4.3017,,,2.4092,358.27,7.1443,1.121,5.1648,
1971-01-22,1.1204,1.0117,4.2996,,,2.4103,357.9,7.1429,1.1215,5.1626,
1971-01-25,1.1224,1.0111,4.3005,,,2.4147,357.73,7.1435,1.1236,5.1626,
1971-01-26,1.123,1.0107,4.2987,,,2.416,357.78,7.1443,1.1241,5.164,
1971-01-27,1.123,1.0101,4.2973,,,2.4161,357.79,7.1414,1.1242,5.1635,
1971-01-28,1.1234,1.009,4.2978,,,2.4169,357.83,7.1431,1.1246,5.1653,
1971-01-29,1.1236,1.008,4.2963,,,2.4174,357.72,7.1445,1.1248,5.1675,
1971-02-01,1.1241,1.0076,4.2968,,,2.4184,357.67,7.1465,1.1253,5.1778,
1971-02-02,1.124,1.0087,4.2969,,,2.4181,357.55,7.1465,1.1251,5.1778,
1971-02-03,1.1241,1.0085,4.2965,,,2.4184,357.54,7.1439,1.1253,5.1742,
1971-02-04,1.1233,1.0078,4.2966,,,2.4167,357.51,7.1431,1.1245,5.1733,
1971-02-05,1.1224,1.0078,4.2969,,,2.4147,357.53,7.1435,1.1235,5.1784,
1971-02-08,1.124,1.0083,4.2979,,,2.4182,357.49,7.1429,1.1252,5.1813,
1971-02-09,1.1226,1.0083,4.2969,,,2.4151,357.5,7.1397,1.1237,5.1811,
1971-02-10,1.1229,1.0086,4.2972,,,2.4159,357.5,7.1412,1.1241,5.1799,
1971-02-11,1.1229,1.0086,4.2967,,,2.4158,357.5,7.141,1.124,5.1778,
1971-02-12,,,,,,,,,,,
1971-02-15,,,,,,,,,,,
