"id_instr","position"
"US9127955Z04",86002
"US9127956E65",86003
"US9127956F31",54000
"US9127956L09",54001
"US9127956R78",53001
"US9127956W63",25000
"US9127957A35",25000
"US9127957D73",60001
"US9127957E56",25001
"US9127957F22",60002
"US9127957G05",60005
"US9127957H87",60003
"US9127957K17",25001
"US9127957L99",60002
"US9127957M72",60001
"US912795Z618",28001
"US912795Z873",25000
"US912795Z956",28000
"US912796AA77",28000
"US912796AB50",28002
"US912796AE99",25002
"US912796AF64",28001
"US912796AG48",28000
"US912796AH21",28000
"US912796AJ86",28000
"US912796AK59",25001
"US912796AL33",28000
"US912796AM16",28001
"US912810DP04",10520
"US912810DS43",4024
"US912810DT26",5585
"US912810DV71",5432
"US912810DW54",18824
"US912810DX38",18787
"US912810DY11",15559
"US912810DZ85",10968
"US912828CA69",28081
"US912828CJ78",27303
"US912828CT50",24722
"US912828DC17",25473
"US912828DM98",34215
"US912828DV97",34472
"US912828EE63",32470
"US912828EN62",23221
"US912828EW61",21842
"US912828FF20",23294
"US912828FQ84",22557
"US912828FY19",23294
"US912828GH76",22193
"US912828GS32",25587
"US912828HA15",28000
"US912828HH67",27674
"US912828JW17",30044
"US912828JZ48",31273
"US912828KF64",33714
"US912828KJ86",35612
"US912828KN98",36213
"US912828KR03",26901
"US912828KS85",23179
"US912828KT68",25138
"US912828KV15",36170
"US912828KW97",26896
"US912828KY53",38075
"US912828KZ29",27784
"US912828LC25",39976
"US912828LD08",28701
"US912828LK41",40175
"US912828LL24",28843
"US912828LP38",29514
"US912828LQ11",40709
"US912828LS76",42011
"US912828LU23",31764
"US912828LZ10",43261
"US912828MA59",32961
"US912828MD98",32948
"US912828ME71",43245
"US912828MH03",42685
"US912828MK32",32521
"US912828MR84",43033
"US912828MS67",32786
"US912828MV96",33083
"US912828MW79",43421
"US912828MZ01",42892
"US912828NA41",32682
"US912828NF38",40866
"US912828NG11",31674
"US912828NK23",30893
"US912828NL06",39132
"US912828NP10",38214
"US912828NR75",29952
"US912828NV87",36881
"US912828NW60",29710
"US912828NZ91",36103
"US912828PA23",29914
"US912828PE45",35718
"US912828PF10",29595
"US912828PJ32",36379
"US912828PK05",30144
"US912828PM60",36757
"US912828PQ74",32701
"US912828PS31",35698
"US912828PZ73",32000
"US912828QA14",36570
"US912828QC79",33576
"US912828QF01",37209
"US912828QH66",32735
"US912828QJ23",36923
"US912828QM51",32000
"US912828QP82",37946
"US912828QR49",36127
"US912828QS22",32000
"US912828QU77",32000
"US912828QX17",36041
"US912828RB87",32980
"US912828RF91",36070
"US912828RG74",32000
"US912828RJ14",36090
"US912828RL69",32000
"US912828RM43",36331
"US912828RQ56",34448
"US912828RU68",36586
"US912828RV42",33170
"US912828RW25",36133
"US912828RX08",36133
"US912828RZ55",34271
"US912828SB78",35660
"US912828SC51",35659
"US912828SE18",35901
"US912828SG65",35496
"US912828SJ05",35497
"US912828SK77",34222
"US912828SL50",35830
"US912828SM34",35831
"US912828SP64",37823
"US912828SR21",35940
"US912828SS04",35940
"US912828SU59",34002
"US912828SW16",35000
"US912828SY71",35001
"US912828SZ47",34260
"US912828TA86",35356
"US912828TB69",35357
"US912828TD26",32000
"US912828TF73",35000
"US912828TG56",35000
"US912828TK68",32000
"US912828TL42",35000
"US912828TM25",35000
"US912828TP55",32000
"US912828TQ39",35000
"US912828TS94",35000
"US912828TT77",32000
"US912828TU41",35000
"US912828TW07",35000
"US912828TX89",32000
"US912828TZ38",35000
"US912828UA67",35000
"US912828UC24",32000
"US912828UD07",35000
"US912810EA26",6717
"US912810EB09",7174
"US912810EC81",13090
"US912810ED64",18941
"US912810EE48",9476
"US912810EF13",7582
"US912810EG95",17059
"US912810EH78",10076
"US912810EJ35",10067
"US912810EK08",9506
"US912810EL80",30632
"US912810EM63",10128
"US912810EN47",7424
"US912828HR40",39205
"US912828HZ65",34078
"US912828JH40",36803
"US912828JR22",57351
"US912828KD17",58677
"US912828KQ20",64411
"US912828LJ77",66753
"US912828LY45",71037
"US912828MP29",71595
"US912828ND89",68219
"US912828NT32",67850
"US912828PC88",67410
"US912828PN44",30454
"US912828PT14",29578
"US912828PX26",67585
"US912828PY09",30593
"US912828QB96",30300
"US912828QG83",30830
"US912828QN35",66000
"US912828QQ65",31441
"US912828QT05",29934
"US912828QY99",29864
"US912828RC60",66735
"US912828RE27",29887
"US912828RH57",29903
"US912828RP73",30103
"US912828RR30",70092
"US912828RT95",30314
"US912828RY80",29939
"US912828SD35",29546
"US912828SF82",74200
"US912828SH49",29412
"US912828SN17",29688
"US912828ST86",29779
"US912828SV33",68985
"US912828SX98",29000
"US912828TC43",29296
"US912828TH30",29000
"US912828TJ95",66000
"US912828TN08",29000
"US912828TR12",29000
"US912828TV24",29000
"US912828TY62",45000
"US912828UB41",29000
"US912828UE89",35000
"US912828UF54",29000
"US038461AC32",1250
"US31331VGU44",1200
"US31331GTJ84",1500
"US31331GL808",1100
"US31331G2Y40",300
"US31331J2S18",1000
"US31331KAH32",1300
"US31331KHW36",1275
"US31331K7J38",291
"US3133EADW54",500
"US3133EALW62",305
"US3133EANJ34",575
"US3133EAQP66",278
"US3133EARQ31",1000
"US3133EAYL60",355
"US3133EAM701",250
"US3133EA6W34",282
"US3133EC2X17",271
"US3133EC5G56",255
"US3133EC6U32",355
"US3133ECAV64",275
"US3133X7FK56",3750
"US3133X9DC15",424
"US3133XASA68",1000
"US3133XBDM45",331.6
"US3133XBMT96",268
"US3133XBTS41",420.4
"US3133XCUS05",583
"US3133XDTC54",310.7
"US3133XDTL53",2325
"US3133XHKR29",300
"US3133XJW388",391.5
"US3133XKTV78",284.5
"US3133XLDG58",970
"US3133XLJP93",3000
"US3133XLWM16",636
"US3133XN5L98",402
"US3133XUMR12",1337.1
"US3133XVNU15",2197.8
"US3133XWE702",2334.1
"US3133XWKV08",3123.8
"US3133XWNB17",2326.4
"US3133XWTZ21",355
"US3133XWX959",3236.4
"US3133XYRC10",250
"US313370JB56",1550.1
"US313370JS81",1327.7
"US313370LC02",500
"US313370NE40",1031
"US3133716Z40",250
"US313371NW21",665.5
"US313371PC49",1278.3
"US313371VF06",377.6
"US313371W511",473.5
"US313371ZY58",250.3
"US3133725D29",250
"US313372C289",305.5
"US313373JR48",4000
"US313376UF02",3000
"US313376ZQ12",563.4
"US3133783D10",500
"US313379ER62",260.2
"US313379SK63",500
"US313379TL38",1000
"US313379Y601",250
"US313379YX11",250
"US3133805Q68",250
"US3133805T08",250
"US313380EE31",750
"US313380EF06",500
"US313380GX93",265
"US313380L960",3000
"US313380VC81",250
"US313380VH78",251
"US313380X858",250
"US313380YE11",250
"US313381H248",3000
"US3134A2HF86",699.1
"US3134A4UM47",5170
"US3128X2TM79",1857.2
"US3128X23A13",790
"US3134A4UU62",4000
"US3128X3L764",549.2
"US3128X33E17",532.2
"US3134A4UX02",3000
"US3134A4VC55",4000
"US3134A4VG69",4000
"US3137EABX69",3500
"US3137EACB31",4500
"US3137EACD96",3000
"US3128X9ML13",1000
"US3128X9QX15",1000
"US3137EACH01",6000
"US3128X9C737",1000
"US3137EACM95",5000
"US3137EACR82",6000
"US3134G2CL49",1000
"US3137EACU12",4000
"US3137EACV94",5000
"US3134G2UA81",4400
"US3134G2WG34",1000
"US3134G2YJ54",1000
"US3137EACY34",4500
"US3137EADA49",6000
"US3134G3JR29",2000
"US3134G3LA65",2000
"US3134G3NS55",1000
"US3137EADD87",4500
"US3134G3SB75",2500
"US3134G3WQ98",452.5
"US3134G3YW49",1000
"US3134G3ZA10",2000
"US3134G3H781",1500
"US3134G3J761",1000
"US3134G3Q527",300
"US3134G3W558",1500
"US3134G32E94",1000
"US313586QR34",2391.1
"US31364A4J82",365.4
"US31359MUT88",3700
"US31359MWJ88",4000
"US31359MXX63",383.3
"US31359MA453",3000
"US31359MZC09",4000
"US31398AVD17",7000
"US31398AVZ29",9000
"US31398AXJ68",5000
"US31398AYY27",4000
"US31398AZV78",6500
"US31398AZZ82",2000
"US31398AU348",4000
"US31398AZ545",250
"US3136FPAB36",300
"US31398A2W10",250
"US3136FPDY02",300
"US31398A3G50",1000
"US31398A3K62",500
"US31398A3R16",300
"US31398A3T71",750
"US3136FPLV70",275
"US31398A4K53",250
"US31398A4M10",6500
"US31398A5R97",250
"US3135G0AP87",5000
"US3135G0BJ19",4000
"US3135G0BY85",5000
"US3135G0DW02",3000
"US3135G0FY40",5000
"US3135G0HG16",5500
"US3135G0KM47",4000
"US3135G0LN11",5000
"US3135G0NV19",5000
"US3135G0SB00",4000
"US62889KAB70",425
"US742651DA79",330
"US742651DB52",350
"US742651DH23",400
"US880591DY56",1000
"CA135087XM17",8093.3
"CA135087XS86",9669.5
"CA135087XX71",10143.3
"CA135087YN80",6707
"CA135087YS77",13149.5
"CA135087YU24",15000
"CA135087ZC17",9000
"CA135087ZD99",8953.6
"CA135087ZF48",11341.7
"CA135087ZG21",7631.8
"CA135087ZN71",9478.1
"CA135087ZP20",7720.7
