id_instr,position
USD,1000000
CAD,900000
EUR,7000000
JPY,99000000
US912796AQ20,85001
US912796AR03,83002
US912796AW97,50001
US912796BA68,50001
US912796BE80,53002
US912796BJ77,53001
US912796BP38,25000
US912796BS76,50002
US912796BT59,25001
US912796BU23,60001
US912796BV06,60001
US912796BW88,59002
US912796BX61,25001
US912796BY45,58002
US912796BZ10,57001
US912796CA59,57000
US912796CB33,22001
US912796CC16,25000
US912796CD98,25001
US912796CE71,25000
US912796CF47,22000
US912796CG20,30001
US912796CH03,30001
US912796CJ68,56001
US912796CK32,29001
US912796CL15,25001
US912796CM97,29001
US912796CZ01,28001
US912810DP04,10520
US912810DS43,4024
US912810DT26,5585
US912810DV71,5432
US912810DW54,18824
US912810DX38,18787
US912810DY11,15559
US912810DZ85,10968
US912810EA26,6717
US912810EB09,7174
US912828DM98,34215
US912828DV97,34472
US912828EE63,32470
US912828EN62,23221
US912828EW61,21842
US912828FF20,23294
US912828FQ84,22557
US912828FY19,23294
US912828GH76,22193
US912828GS32,25587
US912828HA15,28000
US912828HH67,27674
US912828HR40,39205
US912828HZ65,34078
US912828JH40,36803
US912828JR22,57351
US912828KR03,26901
US912828KS85,23179
US912828KT68,25138
US912828KW97,26896
US912828KZ29,27784
US912828LD08,28701
US912828LL24,28843
US912828LP38,29514
US912828LU23,31764
US912828LZ10,43261
US912828MA59,32961
US912828MD98,32948
US912828ME71,43245
US912828MH03,42685
US912828MK32,32521
US912828MR84,43033
US912828MS67,32786
US912828MV96,33083
US912828MW79,43421
US912828MZ01,42892
US912828NA41,32682
US912828NF38,40866
US912828NG11,31674
US912828NK23,30893
US912828NL06,39132
US912828NP10,38214
US912828NR75,29952
US912828NV87,36881
US912828NW60,29710
US912828NZ91,36103
US912828PA23,29914
US912828PE45,35718
US912828PF10,29595
US912828PJ32,36379
US912828PK05,30144
US912828PM60,36757
US912828PN44,30454
US912828PS31,35698
US912828PT14,29578
US912828PY09,30593
US912828QA14,36570
US912828QB96,30300
US912828QF01,37209
US912828QG83,30830
US912828QJ23,36923
US912828QP82,37946
US912828QQ65,31441
US912828QR49,36127
US912828QT05,29934
US912828QX17,36041
US912828QY99,29864
US912828RE27,64887
US912828RF91,36070
US912828RH57,64903
US912828RJ14,36090
US912828RM43,36331
US912828RP73,30103
US912828RU68,36586
US912828RV42,33170
US912828RX08,36133
US912828RZ55,34271
US912828SC51,35659
US912828SE18,35901
US912828SJ05,35497
US912828SK77,34222
US912828SM34,35831
US912828SP64,37823
US912828SS04,35940
US912828SU59,34002
US912828SY71,35001
US912828SZ47,34260
US912828TB69,35357
US912828TD26,32000
US912828TG56,35000
US912828TK68,32000
US912828TM25,35000
US912828TP55,32000
US912828TS94,35000
US912828TT77,32000
US912828TW07,35000
US912828TX89,32000
US912828TZ38,35000
US912828UA67,35000
US912828UC24,32000
US912828UD07,35000
US912828UE89,35000
US912828UG38,32000
US912828UJ76,35000
US912828UK40,35000
US912828UM06,32000
US912828UP37,35000
US912828UR92,35000
US912828US75,32000
US912828UT58,35000
US912828UU22,35000
US912828UW87,32000
US912828UY44,35000
US912828UZ19,35000
US912828VC15,32000
US912828VD97,35000
US912828VE70,35000
US912828VG29,32000
US912828VH02,35000
US912828VK31,35000
US912828VL14,32000
US912828VN79,35000
US912828VQ01,35000
US912828VR83,32000
US912828VU13,34000
US912828VW78,31000
US912828VY35,33000
US912828WA40,30000
US912828WB23,32000
US912828WD88,35000
US912828WF37,30000
US912810EC81,13090
US912810ED64,18941
US912810EE48,9476
US912810EF13,7582
US912810EG95,17059
US912810EH78,10076
US912810EJ35,10067
US912810EK08,9506
US912810EL80,30632
US912810EM63,10128
US912810EN47,7424
US912810EP94,15782
US912810EQ77,22659
US912828KD17,58677
US912828KQ20,64411
US912828LJ77,66753
US912828LY45,71037
US912828MP29,71595
US912828ND89,68219
US912828NT32,67850
US912828PC88,67410
US912828PX26,67585
US912828QN35,66000
US912828RC60,66735
US912828RR30,70092
US912828RT95,30314
US912828RY80,29939
US912828SD35,29546
US912828SF82,74200
US912828SH49,29412
US912828SN17,29688
US912828ST86,29779
US912828SV33,68985
US912828SX98,29000
US912828TC43,29296
US912828TH30,29000
US912828TJ95,66000
US912828TN08,29000
US912828TR12,29000
US912828TV24,29000
US912828TY62,66000
US912828UB41,29000
US912828UF54,29000
US912828UL23,29000
US912828UN88,66000
US912828UQ10,29000
US912828UV05,29001
US912828VA58,29000
US912828VB32,66000
US912828VF46,29000
US912828VJ67,29000
US912828VP28,29000
US912828VS66,66000
US912828VV95,29000
US912828VZ00,29000
US912828WC06,29000
US912828WE61,24000
US038461AC32,1250
US31331VGU44,1200
US31331V2U92,1500
US31331J2S18,1000
US3133EADW54,500
US3133EAJU35,508
US3133EANJ34,575
US3133EARQ31,1000
US3133EC6U32,355
US3133ECAV64,280
US3133ECDR26,300
US3133ECE910,278
US3133ECFJ81,570
US3133ECFV10,550
US3133ECHV91,550
US3133ECQF41,275
US3133ECR714,285
US3133ECX746,260
US3133XASA68,1000
US3133XBDM45,331.6
US3133XBTS41,420.4
US3133XCUS05,583
US3133XDTC54,310.7
US3133XDTL53,2325
US3133XFAY24,375
US3133XFJF44,4000
US3133XGJA30,320.5
US3133XHK684,1000
US3133XN5L98,402
US3133XUKV42,621.8
US3133XVNU15,2197.8
US3133XWNB17,2326.4
US3133XWTZ21,355
US3133XWX959,3236.4
US3133XXP433,1187.4
US3133XYRC10,250
US313370JB56,1836.4
US313370LC02,500
US313370NE40,1031
US313370TW83,1147.9
US3133716Z40,250
US313371NW21,859
US313371PC49,1382.6
US313371VF06,377.6
US313371W511,473.5
US313371ZY58,250.3
US3133725D29,250
US313372C289,305.5
US313373SZ62,1931
US313375RN99,958.3
US313376ZQ12,781.2
US313379ER62,1008.2
US313380L960,3000
US313381H248,3000
US313381YP41,3000
US313382B777,500
US313382K851,500
US3133834R96,3000
US313383R789,300
US313383RN32,250
US313383SK83,250
US313383U254,250
US313383V815,3000
US313383Z469,250
US313383ZF16,265
US3128X33E17,532.2
US3134A4UX02,3000
US3134A4VC55,4000
US3134A4VG69,4000
US3134A4ZT45,4000
US3137EAAD15,5000
US3137EAAG46,4000
US3137EAAJ84,4000
US3128X9QX15,1000
US3137EACH01,6000
US3137EACM95,5000
US3137EACT49,4000
US3137EACW77,5000
US3137EADA49,6000
US3137EADD87,4500
US3134G3WQ98,452.5
US3134G3WS54,288.3
US3134G3ZA10,2000
US3134G3H781,1500
US3134G3J761,1000
US3134G3L247,1000
US3134G3P958,833.8
US3134G3S507,1250
US3134G3W558,1500
US3134G32E94,1000
US3134G34N75,280
US3134G36F24,1000
US3134G36G07,1000
US3137EADQ90,3500
US3134G43P15,280
US3134G4DE52,500
US3137EADS56,3500
US3134G4FJ22,1000
US3134G4FZ63,500
US3134G4G518,325
US3134G4HE17,278.4
US3134G4LW68,311.1
US31359MXX63,383.3
US31359MA453,3000
US31359MZC09,4000
US31359MH896,5000
US31359MS612,3000
US31359MW416,4000
US31398AU348,4000
US31398AZ545,250
US3136FPAB36,300
US3136FPDY02,300
US3136FPET08,250
US31398A3T71,750
US31398A4K53,250
US31398A4M10,6500
US31398A5R97,250
US3135G0AL73,2000
US3135G0BA00,4000
US3135G0CM39,5000
US3135G0ES80,4075
US3135G0FY40,5000
US3135G0HG16,5500
US3135G0KM47,4000
US3135G0LN11,5000
US3135G0NV19,5000
US3135G0QB28,1000
US3135G0SB00,4000
US3135G0UW19,1000
US3135G0VA89,6000
US3135G0XP31,3000
US3135G0YE74,3000
US880591DY56,1000
CA135087XS86,7524.8
CA135087XX71,10143.3
CA135087YB43,10157.4
CA135087YS77,7700.3
CA135087YU24,13969.8
CA135087ZC17,9000
CA135087ZF48,11341.7
CA135087ZL16,9900
CA135087ZN71,7991.7
CA135087ZQ03,10500
CA135087ZR85,10816.2
CA135087ZW70,8732.3
CA135087ZX53,15600
CA135087ZY37,7973.7
CA135087A388,15300
CA135087A537,8639.2
CA135087A792,14700
CA135087A958,9900
CA135087B295,8100
CA135087B527,9900
