"Date","AUD","CAD","CHF","CLP","CNH","EUR","GBP","JPY","NOK","NZD","SEK","SGD","XAG","XAU","XDR","GOVT_USD_USA_3m","GOVT_USD_USA_6m","GOVT_USD_USA_1y","GOVT_USD_USA_2y","GOVT_USD_USA_3y","GOVT_USD_USA_5y","GOVT_USD_USA_7y","GOVT_USD_USA_9y","GOVT_USD_USA_10y","GOVT_USD_USA_15y","GOVT_USD_USA_20y","GOVT_USD_USA_30y","AGEN_USD_USA_3m","AGEN_USD_USA_6m","AGEN_USD_USA_1y","AGEN_USD_USA_2y","AGEN_USD_USA_3y","AGEN_USD_USA_5y","AGEN_USD_USA_7y","AGEN_USD_USA_9y","AGEN_USD_USA_10y","GOVT_CAD_CAN_3m","GOVT_CAD_CAN_6m","GOVT_CAD_CAN_1y","GOVT_CAD_CAN_2y","GOVT_CAD_CAN_3y","GOVT_CAD_CAN_5y","GOVT_CAD_CAN_7y","GOVT_CAD_CAN_9y","GOVT_CAD_CAN_10y","GOVT_CAD_CAN_15y","GOVT_CAD_CAN_20y","GOVT_CAD_CAN_30y","AGEN_CAD_CAN_3m","AGEN_CAD_CAN_6m","AGEN_CAD_CAN_1y","AGEN_CAD_CAN_2y","AGEN_CAD_CAN_3y","AGEN_CAD_CAN_5y","AGEN_CAD_CAN_7y","AGEN_CAD_CAN_9y","AGEN_CAD_CAN_10y","GOFO_XAU_1m","GOFO_XAU_3m","GOFO_XAU_6m","GOFO_XAU_1y"
2011-01-03,1.0186,0.9903,0.9341,466.12,,1.3363,1.5466,81.69,5.8284,0.7752,6.6928,1.2837,,,1.54582,0.001131,0.001764,0.002746,0.005974,0.010426,0.020166,0.027484,0.031873,0.034228,0.041106,0.04231,0.043889,0.001522,0.002298,0.003888,0.00752,0.012365,0.023644,0.029934,0.033738,0.036414,0.010555,0.011873,0.01462,0.017127,0.019761,0.024738,0.02824,0.031214,0.032353,0.035044,0.035849,0.035308,0.011535,0.012634,0.015563,0.019081,0.021678,0.027356,0.031093,0.03394,0.035406,,,,
2011-01-04,1.0066,0.9988,0.9475,488.25,,1.3317,1.5596,82.02,5.8633,0.7682,6.7152,1.2882,3067,1388.5,1.54639,0.001296,0.001804,0.002796,0.006222,0.010601,0.020208,0.027435,0.031839,0.034197,0.041153,0.042444,0.044024,0.001639,0.002291,0.003902,0.00776,0.012533,0.023679,0.029878,0.033696,0.036374,0.010407,0.011815,0.014167,0.017221,0.020036,0.025117,0.028747,0.031784,0.032924,0.035547,0.036302,0.035772,0.011457,0.012545,0.015436,0.019286,0.021924,0.027706,0.031571,0.034481,0.036048,0.0050667,0.0054,0.00595,0.0068667
2011-01-05,0.9978,0.9958,0.9659,494.67,,1.3143,1.5464,83.32,5.925,0.761,6.776,1.2937,2921,1368,1.54026,0.001194,0.001667,0.002974,0.00706,0.011714,0.021494,0.028748,0.033168,0.03552,0.042583,0.04382,0.045306,0.001529,0.002156,0.004141,0.00864,0.013587,0.024905,0.031132,0.034966,0.037639,0.010415,0.011945,0.014548,0.017902,0.02084,0.02615,0.029815,0.032837,0.033959,0.036514,0.037211,0.036664,0.011364,0.012776,0.01582,0.019851,0.022713,0.028623,0.032523,0.035419,0.036968,0.0048667,0.00515,0.00575,0.0067667
2011-01-06,0.9946,0.9973,0.9643,494.75,,1.3036,1.5479,83.22,5.9551,0.7559,6.8601,1.2941,2908,1368.5,1.53173,0.001265,0.001621,0.002943,0.006713,0.011166,0.020814,0.028056,0.032518,0.034846,0.04209,0.04344,0.045019,0.001593,0.002103,0.004083,0.008334,0.013081,0.024208,0.030421,0.034339,0.036987,0.010213,0.011952,0.014659,0.017822,0.02046,0.025602,0.029341,0.032375,0.033489,0.036187,0.037003,0.03646,0.011192,0.012612,0.015562,0.0196,0.022368,0.02812,0.032033,0.034801,0.036242,0.00438,0.00466,0.0056,0.00698
2011-01-07,0.9985,0.9908,0.9641,497.48,,1.2982,1.557,82.96,5.9531,0.7623,6.8933,1.2939,2839,1367,1.52495,0.001308,0.001606,0.002805,0.006024,0.010324,0.019787,0.027126,0.031761,0.03419,0.041611,0.043093,0.044783,0.001566,0.002098,0.003955,0.007645,0.012238,0.02318,0.029492,0.033571,0.03632,0.010212,0.011748,0.014314,0.017516,0.020104,0.025101,0.028895,0.031962,0.03308,0.03584,0.036729,0.036197,0.011296,0.012613,0.015421,0.019499,0.022216,0.027824,0.031792,0.034592,0.036037,0.004,0.00448,0.00542,0.00708
2011-01-10,0.9908,0.9951,0.9697,498.55,,1.294,1.557,82.72,5.9705,0.76,6.8846,1.2991,2879,1368.25,1.52365,0.001386,0.00159,0.002727,0.005779,0.00999,0.019321,0.026628,0.031323,0.033761,0.041241,0.042762,0.044512,0.001658,0.002147,0.003962,0.007519,0.012024,0.022833,0.029113,0.033253,0.036011,0.010177,0.011916,0.014302,0.017485,0.020059,0.02505,0.028754,0.031805,0.032929,0.035674,0.036583,0.036039,0.011317,0.012952,0.015446,0.019411,0.022014,0.027715,0.031493,0.034478,0.035929,0.0038667,0.0043167,0.0051667,0.0064667
2011-01-11,0.9848,0.9917,0.9767,497.55,,1.2934,1.5569,83.45,5.9759,0.7586,6.8563,1.2955,2954,1374,1.5268,0.001455,0.001643,0.002682,0.005964,0.010253,0.01984,0.02723,0.031877,0.034327,0.041663,0.043097,0.04478,0.001794,0.002267,0.003973,0.00774,0.012323,0.023388,0.029751,0.033852,0.036622,0.010197,0.011927,0.014291,0.017681,0.020402,0.025575,0.029312,0.032331,0.033445,0.03614,0.037036,0.036444,0.011295,0.012941,0.015354,0.019606,0.022296,0.028079,0.03193,0.034993,0.036434,0.0038667,0.0043167,0.0051833,0.0065833
2011-01-12,0.9929,0.9855,0.9716,491.45,,1.3062,1.5697,83.28,5.9123,0.7586,6.7699,1.2896,2960,1378.75,1.52708,0.00139,0.001551,0.002433,0.006073,0.010422,0.019948,0.027311,0.032129,0.034521,0.041904,0.043382,0.045149,0.001643,0.002098,0.003668,0.007793,0.012436,0.023441,0.029776,0.034048,0.036761,0.010217,0.011899,0.014394,0.017883,0.020681,0.025851,0.02958,0.032621,0.033734,0.036609,0.03749,0.036763,0.01111,0.012743,0.015222,0.019788,0.022514,0.028345,0.032188,0.035173,0.036523,0.00392,0.00444,0.00528,0.0068
2011-01-13,0.9979,0.9883,0.9647,489.88,,1.3334,1.5854,82.81,5.8618,0.7684,6.7047,1.286,2922,1381.5,1.53694,0.001422,0.001607,0.002382,0.005882,0.010028,0.019212,0.026565,0.031463,0.033893,0.041281,0.042926,0.044859,0.001706,0.002184,0.003628,0.007609,0.012049,0.022711,0.029036,0.033388,0.036169,0.010168,0.011862,0.014501,0.018169,0.020893,0.025873,0.029582,0.032596,0.033701,0.036517,0.037409,0.036695,0.011031,0.012691,0.015359,0.019894,0.022797,0.028291,0.032071,0.035127,0.036469,0.00375,0.0043,0.0051,0.0065
2011-01-14,0.9887,0.9912,0.9639,491.05,,1.3362,1.5881,82.82,5.8627,0.7668,6.6946,1.2882,2852,1367,1.54704,0.001487,0.001623,0.002473,0.005823,0.010049,0.019426,0.026815,0.031737,0.034168,0.04165,0.043265,0.045186,0.001633,0.002062,0.003571,0.007413,0.011983,0.022799,0.02916,0.033536,0.036318,0.010103,0.011938,0.014761,0.018223,0.021104,0.026037,0.02978,0.032791,0.0339,0.036748,0.03765,0.036951,0.011076,0.012778,0.015528,0.020098,0.02299,0.028597,0.032351,0.035215,0.036651,0.003675,0.004125,0.005025,0.006425
